count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
260, 0, 24.829, -25.771,  0.000,  0.000, -0.000,  2.403, 
261, 0, 24.533, -25.512,  0.000,  0.000, -0.000,  2.425, 
262, 0, 24.228, -25.263,  0.000,  0.000, -0.000,  2.461, 
263, 0, 23.911, -25.029,  0.000,  0.000, -0.000,  2.510, 
264, 0, 23.582, -24.808,  0.000,  0.000, -0.000,  2.545, 
265, 0, 23.257, -24.582,  0.000,  0.000, -0.000,  2.535, 
266, 0, 22.928, -24.354,  0.000,  0.000, -0.000,  2.535, 
267, 0, 22.599, -24.131,  0.000,  0.000, -0.000,  2.549, 
268, 0, 22.263, -23.913,  0.000,  0.000, -0.000,  2.572, 
269, 0, 21.935, -23.706,  0.000,  0.000, -0.000,  2.582, 
270, 0, 21.592, -23.499,  0.000,  0.000, -0.000,  2.596, 
271, 0, 21.255, -23.302,  0.000,  0.000, -0.000,  2.623, 
272, 0, 20.902, -23.112,  0.000,  0.000, -0.000,  2.649, 
273, 0, 20.547, -22.924,  0.000,  0.000, -0.000,  2.649, 
274, 0, 20.193, -22.735,  0.000,  0.000, -0.000,  2.654, 
275, 0, 19.840, -22.561,  0.000,  0.000, -0.000,  2.691, 
276, 0, 19.471, -22.401,  0.000,  0.000, -0.000,  2.732, 
277, 0, 19.104, -22.244,  0.000,  0.000, -0.000,  2.736, 
278, 0, 18.734, -22.090,  0.000,  0.000, -0.000,  2.752, 
279, 0, 18.361, -21.942,  0.000,  0.000, -0.000,  2.761, 
280, 0, 17.997, -21.797,  0.000,  0.000, -0.000,  2.760, 
281, 0, 17.625, -21.647,  0.000,  0.000, -0.000,  2.763, 
282, 0, 17.243, -21.500,  0.000,  0.000, -0.000,  2.776, 
283, 0, 16.871, -21.366,  0.000,  0.000, -0.000,  2.796, 
284, 0, 16.489, -21.235,  0.000,  0.000, -0.000,  2.811, 
285, 0, 16.105, -21.113,  0.000,  0.000, -0.000,  2.843, 
286, 0, 15.709, -21.032,  0.000,  0.000, -0.000,  2.943, 
287, 0, 15.312, -20.975,  0.000,  0.000, -0.000,  2.998, 
288, 0, 14.930, -20.941,  0.000,  0.000, -0.000,  3.060, 
289, 0, 14.534, -20.954,  0.000,  0.000,  0.000, -3.109, 
290, 0, 14.138, -20.944,  0.000,  0.000, -0.000,  3.111, 
291, 0, 13.741, -20.917,  0.000,  0.000, -0.000,  3.078, 
292, 0, 13.346, -20.898,  0.000,  0.000, -0.000,  3.092, 
293, 0, 12.951, -20.869,  0.000,  0.000, -0.000,  3.065, 
294, 0, 12.559, -20.833,  0.000,  0.000, -0.000,  3.049, 
295, 0, 12.175, -20.792,  0.000,  0.000, -0.000,  3.036, 
296, 0, 11.787, -20.743,  0.000,  0.000, -0.000,  3.017, 
297, 0, 11.397, -20.705,  0.000,  0.000, -0.000,  3.051, 
298, 0, 11.008, -20.680,  0.000,  0.000, -0.000,  3.078, 
299, 0, 10.627, -20.663,  0.000,  0.000, -0.000,  3.097, 
300, 0, 10.240, -20.647,  0.000,  0.000, -0.000,  3.106, 
301, 0,  9.855, -20.642,  0.000,  0.000, -0.000,  3.129, 
302, 0,  9.468, -20.641,  0.000,  0.000, -0.000,  3.140, 
303, 0,  9.083, -20.644,  0.000,  0.000,  0.000, -3.137, 
304, 0,  8.693, -20.647,  0.000,  0.000,  0.000, -3.132, 
305, 0,  8.304, -20.660,  0.000,  0.000,  0.000, -3.104, 
306, 0,  7.913, -20.681,  0.000,  0.000,  0.000, -3.094, 
307, 0,  7.516, -20.680,  0.000,  0.000, -0.000,  3.141, 
308, 0,  7.127, -20.680,  0.000,  0.000, -0.000,  3.141, 
309, 0,  6.740, -20.678,  0.000,  0.000, -0.000,  3.135, 
310, 0,  6.368, -20.672,  0.000,  0.000, -0.000,  3.132, 
311, 0,  5.998, -20.669,  0.000,  0.000, -0.000,  3.129, 
312, 0,  5.611, -20.656,  0.000,  0.000, -0.000,  3.104, 
313, 0,  5.229, -20.628,  0.000,  0.000, -0.000,  3.070, 
314, 0,  4.839, -20.600,  0.000,  0.000, -0.000,  3.073, 
315, 0,  4.455, -20.582,  0.000,  0.000, -0.000,  3.095, 
316, 0,  4.072, -20.567,  0.000,  0.000, -0.000,  3.100, 
317, 0,  3.679, -20.553,  0.000,  0.000, -0.000,  3.110, 
318, 0,  3.284, -20.542,  0.000,  0.000, -0.000,  3.117, 
319, 0,  2.889, -20.529,  0.000,  0.000, -0.000,  3.105, 
320, 0,  2.512, -20.507,  0.000,  0.000, -0.000,  3.077, 
321, 0,  2.119, -20.487,  0.000,  0.000, -0.000,  3.091, 
322, 0,  1.725, -20.467,  0.000,  0.000, -0.000,  3.092, 
323, 0,  1.336, -20.451,  0.000,  0.000, -0.000,  3.104, 
324, 0,  0.944, -20.428,  0.000,  0.000, -0.000,  3.087, 
325, 0,  0.560, -20.400,  0.000,  0.000, -0.000,  3.066, 
326, 0,  0.168, -20.353,  0.000,  0.000, -0.000,  3.021, 
327, 0, -0.239, -20.295,  0.000,  0.000, -0.000,  3.001, 
328, 0, -0.615, -20.248,  0.000,  0.000, -0.000,  3.018, 
329, 0, -1.009, -20.202,  0.000,  0.000, -0.000,  3.026, 
330, 0, -1.401, -20.154,  0.000,  0.000, -0.000,  3.020, 
331, 0, -1.796, -20.110,  0.000,  0.000, -0.000,  3.029, 
332, 0, -2.190, -20.064,  0.000,  0.000, -0.000,  3.028, 
333, 0, -2.585, -20.022,  0.000,  0.000, -0.000,  3.036, 
334, 0, -2.982, -19.989,  0.000,  0.000, -0.000,  3.067, 
