count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
57, 0, -19.913, -106.845,  0.000, 
57, 0, -21.198, -125.232,  0.000, 
57, 0, -12.634, -124.035,  0.000, 
57, 0, -12.630, -124.002,  0.000, 
57, 0, -17.184, -123.790,  0.000, 
57, 0, -16.940, -122.519,  0.000, 

58, 0, -17.086, -124.804,  0.000, 
58, 0, -15.948, -122.563,  0.000, 
58, 0, -11.111, -124.744,  0.000, 
58, 0, -12.630, -124.002,  0.000, 
58, 0, -12.410, -119.311,  0.000, 
58, 0, -16.985, -123.154,  0.000, 
58, 0, -17.177, -123.031,  0.000, 
58, 0, -12.646, -124.038,  0.000, 
58, 0, -17.163, -123.438,  0.000, 
58, 0, -17.003, -123.899,  0.000, 
58, 0, -17.110, -124.416,  0.000, 
58, 0, -17.428, -97.275,  0.000, 
58, 0, -17.203, -123.760,  0.000, 
58, 0, -11.118, -125.044,  0.000, 

59, 0, -17.029, -124.202,  0.000, 
59, 0, -15.849, -122.541,  0.000, 
59, 0, -11.082, -124.532,  0.000, 
59, 0, -12.623, -124.007,  0.000, 
59, 0, -12.211, -119.371,  0.000, 
59, 0, -16.923, -122.878,  0.000, 
59, 0, -17.147, -123.453,  0.000, 
59, 0, -16.990, -123.882,  0.000, 
59, 0, -17.612, -97.280,  0.000, 
59, 0, -12.634, -124.092,  0.000, 
59, 0, -16.029, -122.546,  0.000, 
59, 0, -19.641, -106.876,  0.000, 
59, 0, -11.079, -124.499,  0.000, 

60, 0, -16.937, -123.882,  0.000, 
60, 0, -16.126, -122.568,  0.000, 
60, 0, -12.652, -123.920,  0.000, 
60, 0, -11.026, -123.421,  0.000, 
60, 0, -12.289, -119.345,  0.000, 
60, 0, -16.887, -122.557,  0.000, 
60, 0, -17.187, -123.138,  0.000, 
60, 0, -16.050, -122.332,  0.000, 
60, 0, -19.893, -106.929,  0.000, 
60, 0, -12.692, -124.049,  0.000, 
60, 0, -17.350, -124.122,  0.000, 
60, 0, -16.977, -123.130,  0.000, 
60, 0, -15.878, -122.559,  0.000, 
60, 0, -17.021, -124.168,  0.000, 
60, 0, -12.472, -119.309,  0.000, 
60, 0, -17.167, -122.797,  0.000, 
60, 0, -7.583, -115.335,  0.000, 
60, 0, -16.882, -120.499,  0.000, 
60, 0, -17.197, -123.512,  0.000, 
60, 0, -22.656, -103.656,  0.000, 
60, 0, -16.910, -121.086,  0.000, 

61, 0, -15.983, -122.596,  0.000, 
61, 0, -11.067, -123.702,  0.000, 
61, 0, -12.355, -119.303,  0.000, 
61, 0, -17.159, -122.745,  0.000, 
61, 0, -20.117, -107.051,  0.000, 
61, 0, -12.644, -123.928,  0.000, 
61, 0, -17.145, -123.359,  0.000, 
61, 0, -16.959, -122.856,  0.000, 
61, 0, -17.000, -123.761,  0.000, 
61, 0, -12.464, -119.298,  0.000, 
61, 0, -7.631, -115.252,  0.000, 
61, 0, -16.931, -121.049,  0.000, 
61, 0, -15.926, -122.632,  0.000, 
61, 0, -16.986, -123.157,  0.000, 
61, 0, -16.976, -123.845,  0.000, 
61, 0, -16.978, -123.459,  0.000, 
61, 0, -18.239, -97.355,  0.000, 
61, 0, -11.026, -123.639,  0.000, 
61, 0, -17.189, -123.751,  0.000, 
61, 0, -20.837, -113.099,  0.000, 
61, 0, -22.953, -107.113,  0.000, 

62, 0, -15.989, -122.630,  0.000, 
62, 0, -11.026, -123.327,  0.000, 
62, 0, -12.384, -119.290,  0.000, 
